Time	Draw				Score			Duration	Court	
	11:55 AM	BD U13	Ryan Ma Ray Wang	-	Allen Jolly Partha Teja Malladi	21-13 21-13			0:27	Main Location - 3
	11:55 AM	BD U13	Wyatt Fong Caio Li	-	Matthew Li Ryan Wu	21-9 21-13			0:33	Main Location - 6
	11:55 AM	BD U17	Adrian Lee Ken Zhu	-	Emanuel Chang Jacob Zhang	21-15 21-13			0:27	Main Location - 5
	11:55 AM	BS U11	Daniel Zhou	-	Arav Sachdeva	21-9 21-6			0:30	Main Location - 9
	11:55 AM	BS U11	Lance Fuchia	-	Andrew Lu	21-12 21-9			0:30	Main Location - 11
	11:55 AM	BS U11	Scott Lin	-	Kai Chong [5/8]	21-16 17-21 21-15			0:15	Main Location - 12
	11:55 AM	GS U11	Jasmine Yeung	-	Kayla Wu [5/8]	21-16 21-8			0:33	Main Location - 7
	11:55 AM	GS U11	Olivia Chen [5/8]	-	Micah Cheng	21-8 21-3			0:23	Main Location - 8
	11:55 AM	GS U13	Emma Lin	-	Candace Wong	21-14 21-9			0:02	Main Location - 4
	11:55 AM	GS U13	Amanda Ng	-	Amber Zhang	21-11 21-10			0:24	Main Location - 1
	11:55 AM	GS U13	Natalie Chi [5/8]	-	Megan Lee	21-5 21-5			0:29	Main Location - 10
	11:55 AM	BS U19	Anthony Chu	-	Darren Lo	21-7 21-14			0:29	Main Location - 2
	11:55 AM	BD U15	Tommy Tan Chuhua Yang	-	Owen Che Zizhen Zhang	21-10 21-14			0:44	Main Location - 3
	12:20 PM	BD U11	Thanik Bharani Jerry Yuan	-	Aaric Hoar Kyle Peng	21-9 21-8			0:31	Main Location - 11
	12:20 PM	BD U13	Ryan Phan Daniel Yuan	-	Jeffrey Ma Manogne Reddy	21-7 21-10			0:29	Main Location - 6
	12:20 PM	BD U15	Tony Liuzhou Derek Tan	-	Bryan Auyeung Timothy Oeij	21-18 21-9			0:36	Main Location - 10
	12:20 PM	BD U15	Alistair Lee Aaron Low	-	Teng Yue Ren Ethan Wu	21-13 21-18			0:32	Main Location - 2
	12:20 PM	BD U15	William Dai Jason Zhao	-	Ryan Qian Winston Tang	21-12 21-17			0:35	Main Location - 6
	12:20 PM	BS U11	Weslie Chen [3/4]	-	William Wang	21-10 21-15			0:38	Main Location - 8
	12:20 PM	BS U11	Ved Vedere [3/4]	-	Patrick Chi	21-12 21-12			0:25	Main Location - 5
	12:20 PM	BS U11	Lukas Chang	-	Kyle Fang	21-8 21-10			0:26	Main Location - 4
	12:20 PM	BS U11	Jedd Perea [2]	-	Arjun Chatterjee	22-20 21-12			0:28	Main Location - 9
	12:20 PM	GS U11	Charlotte Tse	-	Alice Wang	19-21 21-6 21-12			0:40	Main Location - 7
	12:20 PM	GS U11	Veronica Yang [5/8]	-	Akshaya Ajan	21-7 21-7			0:27	Main Location - 1
	12:20 PM	GS U11	Shelley Li	-	Mia Zhang	21-9 21-10			0:29	Main Location - 5
	12:20 PM	XD U17	Dean Tan [3/4] Jennie Gai	-	Derrick Wong Crystal Wai	21-5 21-7			0:23	Main Location - 12
	12:45 PM	BD U13	Codey Ma Tommy Tan	-	Christopher Liu Jonathan Siu	21-12 21-10			0:29	Main Location - 5
	12:45 PM	BS U11	Caden Liu	-	Jatin Yang	21-11			0:20	Main Location - 11
	12:45 PM	GS U11	Mikayla Cruz [5/8]	-	Joline Siu	17-21 21-19 21-16			0:45	Main Location - 7
	12:45 PM	GS U11	Jacquelyn Chen	-	Laasya Priya Mullapudi	21-8 21-10			0:27	Main Location - 2
	12:45 PM	BS U13	Alec Lee	-	Joshua Yang	21-16 14-21 23-21			0:40	Main Location - 10
	12:45 PM	BS U13	Andrew Wang [5/8]	-	Henry Tang	21-14 21-16			0:33	Main Location - 3
	12:45 PM	BS U13	Mihir Raja [5/8]	-	Jun Jie Lai	21-10 21-10			0:26	Main Location - 10
	12:45 PM	BS U13	Brandon Wu	-	Pranai Konduru	21-10 21-10			0:30	Main Location - 4
	12:45 PM	GS U13	Catherine Zheng [3/4]	-	Shriya Chockalingam	21-19 22-20			0:32	Main Location - 11
	12:45 PM	GS U13	Emily Han	-	Ashley Yang	21-18 21-13			0:36	Main Location - 8
	12:45 PM	GS U13	Jessica Fan	-	Ellen Zulkarnain	17-21 21-15 21-9			0:42	Main Location - 1
	12:45 PM	GD U19 - Group B	Joanna Liu Crystal Pan	-	Bianca Tam [2] Helen (BBC) Wang	21-17 18-21 21-19			0:50	Main Location - 9
	12:45 PM	BS U13	Allen Jolly	-	Andrew Tan	21-16 21-13			0:24	Main Location - 12
	1:10 PM	GS U13	Claire Chen [5/8]	-	Sumaswara Chinthalapati	21-1 21-3			0:25	Main Location - 4
	1:10 PM	GS U13	Claire Wang	-	Emma Xiong	21-13 21-8			0:19	Main Location - 12
	1:10 PM	GS U13	Bhaavya Manikonda [3/4]	-	Stella Tran	Walkover				
	1:10 PM	GS U13	Helen Wang	-	Andrea Lou	21-18 17-21 21-18			0:45	Main Location - 5
	1:10 PM	GS U13	Yvonne Qiu [5/8]	-	Ivy Wang	21-11 21-5			0:31	Main Location - 2
	1:10 PM	GS U13	Ragalina Palaka	-	Harika Regulapati	21-7 21-13			0:27	Main Location - 11
	1:10 PM	GS U13	Jolie Wang [2]	-	Melody Yang	21-15 21-11			0:28	Main Location - 3
	1:10 PM	BS U15	Ethan Lee	-	Jacob Yeung [5/8]	21-17 21-15			0:41	Main Location - 1
	1:10 PM	BS U15	Trevor Tan	-	Jeffrey Tan	21-9 21-17			0:27	Main Location - 8
	1:10 PM	BS U15	Daniel Fung	-	Samuel Wang	21-11 14-21 21-17			0:56	Main Location - 9
	1:10 PM	XD U17	Derek Hu Breanna Chi	-	Raymond Chen [2] Karen Ma	21-16 21-18			0:14	Main Location - 6
	1:35 PM	BS U11	Matthew Li	-	Alex Sin	21-18 17-21 21-15			0:39	Main Location - 4
	1:35 PM	BS U13	Wyatt Fong	-	Ray Wang	21-11 21-17			0:36	Main Location - 7
	1:35 PM	BS U13	Aaron Bai	-	Robert Chang	21-9			0:14	Main Location - 6
	1:35 PM	BS U15	Tony Liuzhou	-	Winston Tang	21-11 21-5			0:26	Main Location - 12
	1:35 PM	BS U15	Eric Duong [3/4]	-	Teng Yue Ren	21-9 21-10			0:27	Main Location - 6
	1:35 PM	BS U15	Andrew Zhang [2]	-	Charles Liu	21-9 21-8			0:30	Main Location - 2
	1:35 PM	GS U15	Cassandra Yu [1]	-	Siya Ragade	21-10 21-12			0:28	Main Location - 11
	1:35 PM	GS U15	Crystal Yang	-	Helena Li	21-16 21-19			0:27	Main Location - 10
	1:35 PM	GS U15	Jacqueline Zhang [5/8]	-	Candace Do	21-11 21-7			0:10	Main Location - 2
	1:35 PM	GS U15	Jessica Wang	-	Niko Bardin	21-6 21-19			0:30	Main Location - 3
	1:35 PM	XD U17	Wai Hei Ngan Aileen Sun	-	David Wang Jakin Lin	21-16 20-22 21-19			0:01	Main Location - 1
	1:35 PM	BS U15	Alistair Lee	-	Kolton Zeng	21-4 21-10			0:27	Main Location - 8
	2:00 PM	BS U11	Jerry Yuan	-	William Ye	21-11 21-11			0:28	Main Location - 9
	2:00 PM	BS U11	Thanik Bharani	-	William Zhang	21-4 21-2			0:28	Main Location - 11
	2:00 PM	BS U11	Thenuk Chandrasekera	-	Arthur Lee	21-16 16-21 21-19			0:44	Main Location - 6
	2:00 PM	BS U11	Adam Tay	-	Kyle Fang	21-16			0:21	Main Location - 6
	2:00 PM	GD U11	Olivia Chen Shelley Li	-	Mia Hundley Jasmine La	21-5 21-4			0:24	Main Location - 5
	2:00 PM	GD U11	Chloe Ho Veronica Yang	-	Salina Tang Alice Wang	21-4 21-5			0:25	Main Location - 4
	2:00 PM	GD U11	Lilian Shu Charlotte Tse	-	Sahasra Chada Melissa Jin	21-23 21-16 21-18			0:29	Main Location - 10
	2:00 PM	BS U13	Edward Zhang [1]	-	Manogne Reddy	21-15 21-8			0:29	Main Location - 7
	2:00 PM	BS U13	Ethan Chang	-	Geoffrey Tong	21-14 21-16			0:28	Main Location - 8
	2:00 PM	BS U13	Connor Lam [5/8]	-	Kevin Ngo	21-12 21-12			0:32	Main Location - 3
	2:00 PM	BS U13	Siddhartha Javvaji [2]	-	Andrew Liang	21-5 21-12			0:28	Main Location - 2
	2:00 PM	XD U17	Adrian Unruh [3/4] Annette Lam	-	Ken Zhu Joanne Chan	21-17 22-20			0:35	Main Location - 12
	2:00 PM	XD U17	Adrian Lee Fiona Yue	-	Max Li Lumbini Chandrasekera	21-11 21-12			0:31	Main Location - 5
	2:25 PM	GD U11	Joline Siu Mia Zhang	-	Reanne Chan Rachel Lee	18-21 21-15 21-11			0:55	Main Location - 11
	2:25 PM	BS U13	Adrian Mar	-	Codey Ma	21-17 21-9			0:28	Main Location - 1
	2:25 PM	BS U13	Aaron Low [3/4]	-	Partha Teja Malladi	21-10 21-5			0:06	Main Location - 12
	2:25 PM	BS U13	Ryan Ma	-	Caio Li	21-10 21-10			0:28	Main Location - 7
	2:25 PM	BS U13	Edison Ma	-	Andre Chim	19-21 21-19 21-13			0:45	Main Location - 9
	2:25 PM	BS U13	Minh Cheng [3/4]	-	Thomas Liew	21-9 21-18			0:30	Main Location - 3
	2:25 PM	BS U13	Ryan Wu	-	Jeffrey Ma	21-12			0:17	Main Location - 8
	2:25 PM	BS U15	Nathan He [1]	-	Narahari Rao	21-4 21-17			0:28	Main Location - 4
	2:25 PM	XD U17	Ryan Nibu Elita Chandra	-	Howard Tay Vanessa Yang	Walkover				
	2:25 PM	BS U13	Kelvin Chong	-	Allen Jolly	21-11 21-11			0:23	Main Location - 2
	2:50 PM	BS U15	Derek Tan [3/4]	-	William Hu	19-21 21-12 23-21			0:45	Main Location - 12
	2:50 PM	BS U15	Brandon Zhou [5/8]	-	Ethan Wu	21-14 21-4			0:23	Main Location - 5
	2:50 PM	BS U15	Ben Bielin	-	Steve Su	21-13 21-12			0:35	Main Location - 10
	2:50 PM	BS U15	Joshua Yuan	-	Bryan Auyeung	21-15 21-11			0:27	Main Location - 1
	2:50 PM	BS U15	Justin Lam	-	Jason Zhao	21-15 21-12			0:44	Main Location - 6
	2:50 PM	BS U15	Winston Tsai	-	Justin Wang	21-23 21-12 21-17			0:53	Main Location - 5
	2:50 PM	BS U15	Jacob Zhang	-	Alohi Sheung [5/8]	21-19 21-13			0:41	Main Location - 4
	2:50 PM	BS U15	Joseph Zhang	-	Akhil Raj Kasetty	21-14 21-12			0:20	Main Location - 3
	2:50 PM	BS U15	Nathan Chiang	-	Ryan Qian	21-17			0:19	Main Location - 4
	2:50 PM	BS U15	Naveen Arunachalam Sakthiyendran	-	Jacob Yeung [5/8]	22-20			0:24	Main Location - 7
	2:50 PM	BS U15	Aaron Wu	-	Jeffrey Tan	21-10			0:17	Main Location - 3
	2:50 PM	GD U19 - Group A	Annie Xu [1] Kerry Xu	-	Jennie Gai Jamie Hsu	21-17 21-19			0:44	Main Location - 8
	2:50 PM	XD U17	Justin Lam [1] Mirabelle Huang	-	Anoop Reddy Helena Li	21-15 21-2			0:26	Main Location - 2
	3:15 PM	XD U13	Wyatt Fong Allison Lee	-	Marvin Mo Kristine Ngo	21-9 21-12			0:31	Main Location - 7
	3:15 PM	BS U15	Harshith Rajasekaran	-	Winston Tang	21-4			0:17	Main Location - 9
	3:15 PM	BS U15	Daniel Huang	-	Kolton Zeng	21-9			0:25	Main Location - 1
	3:15 PM	BS U15	Tommy Tan	-	Samuel Wang	21-16			0:37	Main Location - 12
	3:15 PM	GS U15	Julie Yang [3/4]	-	Sruthi Joshy	21-7 21-11			0:26	Main Location - 8
	3:15 PM	GS U15	Emily Hu	-	Jennifer Zhang	21-5 21-2			0:26	Main Location - 4
	3:15 PM	GS U15	Maggie Li [5/8]	-	Kaia To	21-11 21-8			0:25	Main Location - 10
	3:15 PM	GS U15	Nicole Ju	-	Caroline Oei	21-10 21-14			0:37	Main Location - 2
	3:15 PM	GD U19 - Group B	Karen Ma Cindy Yuan	-	Bianca Tam [2] Helen (BBC) Wang	17-21 21-18 21-17			0:48	Main Location - 11
	3:15 PM	BS U13	Jeremy Chen	-	Andrew Tan	21-9			0:17	Main Location - 8
	3:40 PM	BS U11	Ben Tirtohadi	-	William Zhang	21-15			0:20	Main Location - 10
	3:40 PM	GS U15	Tiffany Kuang	-	Zoe Lu	21-7 21-4			0:25	Main Location - 3
	3:40 PM	GS U15	Belinda Tam [5/8]	-	Amenda Lee	21-12 21-9			0:05	Main Location - 7
	3:40 PM	GS U15	Roshni Venkat	-	Celina Yu	21-7 21-13			0:17	Main Location - 5
	3:40 PM	GS U15	Karina Chan	-	Kristen Choi [3/4]	21-19 21-8			0:29	Main Location - 12
	3:40 PM	GS U15	Xin Huang	-	Abigail Li	21-16 21-13			0:31	Main Location - 6
	3:40 PM	GS U15	Tammy Xie [5/8]	-	Elita Chandra	22-20 21-18			0:27	Main Location - 2
	3:40 PM	BD U19 - Group B	Brian Duong Derek Hu	-	Mason Jiang Darren Lo	18-21 21-16 21-17			0:45	Main Location - 9
	3:40 PM	GD U19 - Group B	Joanna Liu Crystal Pan	-	Krista Hsu Madeline Sporkert	21-10 21-13			0:35	Main Location - 1
	4:05 PM	BS U13	Ashton Lee	-	Codey Ma	21-16			0:10	Main Location - 8
	4:05 PM	BS U13	Andre Chim	-	Tommy Tan	21-15				Main Location - 11
	4:05 PM	XD U13	Daniel Bielin Emma Lin	-	Henry Tang [3/4] Pauline Tong	21-16 17-21 21-16			0:17	Main Location - 10
	4:05 PM	XD U13	Brandon Wu Natalie Chi	-	Alec Lee Kodi Lee	21-10 21-12			0:33	Main Location - 4
	4:05 PM	GS U15	Katelin Ngo	-	Raeka Lin	21-18 21-15			0:32	Main Location - 3
	4:05 PM	GS U15	Emma Lin [2]	-	Megan Lan	21-12 21-12			0:33	Main Location - 6
	4:05 PM	XD U15	Calvin Xia [5/8] Niko Bardin	-	Nihal Bondugula Candace Do	21-16 21-10			0:28	Main Location - 12
	4:05 PM	BS U17	Bryce Kan [1]	-	Elias Frausing	21-16 21-8			0:22	Main Location - 7
	4:05 PM	GD U13	Shriya Chockalingam Ragalina Palaka	-	Sumaswara Chinthalapati Emma Xiong	21-8 21-8			0:23	Main Location - 1
	4:30 PM	BS U15	Alohi Sheung [5/8]	-	Zizhen Zhang	21-13			0:21	Main Location - 4
	4:30 PM	BS U15	Akhil Raj Kasetty	-	Alvin Chen	21-11			0:28	Main Location - 1
	4:30 PM	XD U15	Eric Chang [1] Angela Zhang	-	Jacob Yeung Maalveka Ilango	21-7 21-7			0:23	Main Location - 11
	4:30 PM	XD U15	Daniel Fung Jessica Wang	-	Daniel Huang Siya Ragade	21-9 21-8			0:33	Main Location - 8
	4:30 PM	BS U17	Justin Lam	-	Jack Yu	21-10 21-14			0:31	Main Location - 2
	4:30 PM	BS U17	Jason Xie [5/8]	-	David Wang	21-8 21-13			0:33	Main Location - 5
	4:30 PM	BS U17	Ryan Nibu	-	Victor Zheng	21-11 21-14			0:29	Main Location - 3
	4:30 PM	BS U17	Emanuel Chang	-	Anoop Reddy	21-10 21-9			0:31	Main Location - 9
	4:30 PM	BD U11	Patrick Chi Jatin Yang	-	Ethan Do Jacky Zhang	21-3 21-9			0:28	Main Location - 7
	4:55 PM	BS U17	Karthik Kalyanasundaram [5/8]	-	Ken Zhu	21-13 21-12			0:31	Main Location - 8
	4:55 PM	BS U17	Alexander Wang	-	Nakulan Karthikeyan	21-18 21-17			0:35	Main Location - 9
	4:55 PM	BS U17	Dean Tan [5/8]	-	Jerry Ju	21-9 21-7			0:35	Main Location - 11
	4:55 PM	BS U17	Raymond Chen [3/4]	-	Howard Tay	Walkover				
	4:55 PM	BS U17	Alexander Zheng	-	Christopher Ho	21-16 21-15			0:27	Main Location - 4
	4:55 PM	BS U17	Adrian Unruh [5/8]	-	Anthony Chiang	21-10 22-20			0:27	Main Location - 3
	4:55 PM	BS U17	Ethan Low [2]	-	Choonggao Lee	21-17 21-17			0:36	Main Location - 10
	4:55 PM	GD U17	Carmen Chung Fiona Yue	-	Mirabelle Huang Annette Lam	19-21 21-18 21-19			0:40	Main Location - 6
	4:55 PM	BS U19	Adrian Lee	-	Stephen Ding	21-15 21-19			0:31	Main Location - 5
	4:55 PM	BS U19	Ricky Liuzhou	-	Cadmus Yeo	21-15 21-15			0:37	Main Location - 2
	4:55 PM	GS U19	Cindy Yuan	-	Soumya Gade	25-23 21-19			0:54	Main Location - 1
	4:55 PM	BS U19	Gokul Kalyanasundaram	-	Joseph Pitman	21-18 21-16			0:33	Main Location - 12
	5:20 PM	XD U13	Connor Lam Amanda Ng	-	Ray Wang Ivy Wang	21-19 21-12			0:37	Main Location - 10
	5:20 PM	XD U13	Andrew Liang Jessica Fan	-	Kenny Chen Audrey Zhu	21-15 21-15			0:32	Main Location - 2
	5:20 PM	XD U15	Justin Wang Xin Huang	-	Jacob Zhang Celina Yu	21-18 21-23 21-19			0:48	Main Location - 7
	5:20 PM	XD U15	Andrew Zhang Kristen Choi	-	Harshith Rajasekaran Kaia To	21-14 21-19			0:34	Main Location - 8
	5:20 PM	XD U15	William Hu Caroline Oei	-	Kelvin Chong Tiffany Kuang	23-21 21-13			0:39	Main Location - 12
	5:20 PM	GD U17	Breanna Chi Charisse Chow	-	Amber Low Zoe Lu	21-4 21-6			0:22	Main Location - 11
	5:20 PM	GS U19	Annie Xu	-	Joanna Liu	21-9 21-15			0:31	Main Location - 11
	5:20 PM	BS U11	Alvin Ng [1]	-	Daniel Zhou	14-21 21-15 21-17			0:31	Main Location - 3
	5:20 PM	BS U11	Matthew Li	-	Thompson Ma [5/8]	21-18 24-22			0:38	Main Location - 5
	5:20 PM	BS U11	Weslie Chen [3/4]	-	Jerry Yuan	21-17 21-15			0:35	Main Location - 9
	5:20 PM	BS U11	Thanik Bharani	-	Aaric Hoar	21-7 21-7			0:38	Main Location - 10
	5:20 PM	BS U11	Lance Fuchia	-	Scott Lin	21-7 Retired			0:31	Main Location - 4
	5:45 PM	XD U13	Codey Ma Melody Yang	-	Jonathan Siu Ragalina Palaka	21-13 21-4			0:38	Main Location - 6
